lag,aic,bic,hqic,fpe,is_stable,selected_bic
1,11.61067100832198,11.789542616651968,11.678067215702049,110268.30533924296,True,True
2,11.594888913348324,11.92730271127258,11.720142749368756,108542.17535824976,True,False
3,11.60075736082789,12.086920292563866,11.783951593244192,109182.22588677058,True,False
4,11.584542082621107,12.22466154979432,11.825759667093642,107428.31721771602,True,False
5,11.59744869121378,12.39173255425213,11.896772771889584,108827.5103389969,True,False
6,11.590041166083454,12.538697745616972,11.947555076180333,108029.73291117897,True,False
7,11.608443958214016,12.711682036480033,12.024231220606929,110043.80414951735,True,False
8,11.595042519289994,12.853071341543778,12.069186847099738,108588.86936404086,True,False
9,11.566481903844362,12.97951117977525,12.099067201028582,105543.80372470805,True,False
10,11.573708358387059,13.141948263540087,12.164818720333564,106324.90777803634,True,False
11,11.558922549601462,13.28258372680456,12.20864226372389,104783.20327535289,True,False
12,11.542786644819715,13.422080205616446,12.251200191155544,103128.2545280086,True,False
